order_book_id,datetime,trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
000001.XSHE,2022-08-25 14:38:00,2022-08-25,12.4,12.6,12.6,12.3,12.4,82310117.0,1025119037.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,1177948.0,334500.0,330400.0,223100.0,321700.0,100.0,12200.0,246100.0,124300.0,99900.0,0.016129032258064502,50582.0
000001.XSHE,2022-08-25 14:38:03,2022-08-25,12.4,12.59,12.6,12.3,12.4,82346417.0,1025576250.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,1157148.0,390900.0,330400.0,226400.0,321700.0,1600.0,13200.0,246100.0,124300.0,99900.0,0.015322580645161343,50614.0
000001.XSHE,2022-08-25 14:38:06,2022-08-25,12.4,12.6,12.6,12.3,12.4,82402817.0,1026286844.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,1098348.0,540200.0,332500.0,226400.0,319300.0,2700.0,101200.0,245600.0,124300.0,124600.0,0.016129032258064502,50649.0
000001.XSHE,2022-08-25 14:38:09,2022-08-25,12.4,12.6,12.6,12.3,12.4,82511317.0,1027653915.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,1010148.0,658400.0,373000.0,226400.0,319600.0,50900.0,120500.0,246000.0,124300.0,124600.0,0.016129032258064502,50742.0
000001.XSHE,2022-08-25 14:38:12,2022-08-25,12.4,12.6,12.6,12.3,12.4,82580517.0,1028525575.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,1000348.0,661000.0,375500.0,207800.0,319600.0,40700.0,124400.0,242400.0,100200.0,99400.0,0.016129032258064502,50785.0
000001.XSHE,2022-08-25 14:38:15,2022-08-25,12.4,12.6,12.6,12.3,12.4,83478817.0,1039844049.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,146048.0,666700.0,376800.0,207800.0,319700.0,82200.0,126600.0,242400.0,96400.0,99400.0,0.016129032258064502,51175.0
000001.XSHE,2022-08-25 14:38:18,2022-08-25,12.4,12.6,12.6,12.3,12.4,83542617.0,1040647904.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,129148.0,667100.0,376800.0,207800.0,340100.0,195100.0,131100.0,242000.0,96400.0,99400.0,0.016129032258064502,51208.0
000001.XSHE,2022-08-25 14:38:21,2022-08-25,12.4,12.6,12.61,12.3,12.4,83996517.0,1046368878.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,489448.0,377000.0,207800.0,340100.0,573765.0,41600.0,171300.0,129800.0,239800.0,96800.0,0.016129032258064502,51318.0
000001.XSHE,2022-08-25 14:38:24,2022-08-25,12.4,12.6,12.61,12.3,12.4,84015217.0,1046604541.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,491048.0,381700.0,207800.0,261700.0,573465.0,77200.0,170500.0,136100.0,109700.0,94700.0,0.016129032258064502,51327.0
000001.XSHE,2022-08-25 14:38:27,2022-08-25,12.4,12.61,12.61,12.3,12.4,84119017.0,1047912589.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.59,12.58,12.57,12.56,12.55,419148.0,382700.0,207800.0,261700.0,576665.0,170500.0,137600.0,89700.0,94700.0,169400.0,0.01693548387096766,51499.0
